%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
3733,2,336,1.0,39,583626,25,16414,0,0,0,0,163,0.20628913,3.76,3.65,2.77,5,842,Normal
3733,2,336,1.0,234,610419,222,241726,0,0,0,0,181,0.22892725,4.02,3.71,2.8,1,838,Normal
3770,2,339,1.0,4,611002,0,0,0,0,0,0,181,0.22982527,3.71,3.66,2.79,1,837,Normal
3770,2,339,1.0,10,613151,3,435,0,0,0,0,181,0.22954896,3.45,3.6,2.79,1,836,Normal
3770,2,339,1.0,8,614252,5,1163,0,0,0,0,181,0.22926772,3.22,3.55,2.78,1,835,Normal
3770,2,339,1.0,5,614921,1,52,0,0,0,0,180,0.22800949,3.12,3.52,2.77,1,835,Normal
3770,2,339,1.0,7,615746,1,52,0,0,0,0,181,0.22891739,2.86,3.45,2.76,1,835,Normal
3770,2,339,1.0,3,616259,0,0,0,0,0,0,180,0.22854732,2.88,3.43,2.76,1,835,Normal
3797,2,330,1.0,12,619181,3,510,0,0,0,0,180,0.22803417,2.74,3.39,2.76,1,835,Normal
3797,2,330,1.0,14,621880,14,6208,0,0,0,0,181,0.22931705,2.47,3.31,2.74,1,835,Normal
3797,2,330,1.0,10,623159,4,630,0,0,0,0,183,0.23133022,2.24,3.23,2.72,1,834,Normal
3797,2,330,1.0,3,623672,0,0,0,0,0,0,182,0.22998811,2.2,3.19,2.71,1,834,Normal
3797,2,330,1.0,7,624501,1,42,0,0,0,0,182,0.23087133,2.54,3.23,2.73,1,835,Normal
3797,2,330,1.0,3,625014,54,17424,0,0,0,0,182,0.2305062,2.31,3.16,2.71,1,835,Normal
3788,2,324,1.0,7,625855,1,89,0,0,0,0,182,0.23020521,2.49,3.17,2.72,1,835,Normal
3788,2,324,1.0,5,626484,7,1564,0,0,0,0,181,0.22971673,2.33,3.12,2.71,1,835,Normal
3788,2,324,1.0,9,627671,4,1111,0,0,0,0,186,0.23501606,2.2,3.06,2.69,1,835,Normal
3788,2,324,1.0,5,628356,1,52,0,0,0,0,185,0.23374797,2.02,2.99,2.67,1,835,Normal
3788,2,324,1.0,3,628869,0,0,0,0,0,0,185,0.23473482,1.93,2.95,2.66,1,835,Normal
3788,2,324,1.0,6,629640,0,0,0,0,0,0,185,0.23449796,1.79,2.88,2.64,1,835,Normal
3794,2,320,1.0,3,630153,0,0,0,0,0,0,185,0.23435488,1.83,2.85,2.64,1,836,Normal
3794,2,320,1.0,6,630924,1,42,0,0,0,0,185,0.23429073,1.86,2.82,2.63,1,836,Normal
3794,2,320,1.0,1235,725832,2427,3443240,0,0,0,0,183,0.23116738,1.72,2.76,2.61,1,841,Normal
3794,2,320,1.0,52,732003,45,29503,0,0,0,0,181,0.22981541,1.69,2.72,2.6,1,836,Normal
3794,2,320,1.0,4,732586,1,52,0,0,0,0,182,0.23063943,1.97,2.75,2.61,1,836,Normal
3794,2,320,1.0,5,733271,0,0,0,0,0,0,182,0.23026936,1.82,2.69,2.59,1,836,Normal
3773,2,316,1.0,5,733916,1,42,0,0,0,0,182,0.23006213,2.23,2.75,2.61,1,836,Normal
3773,2,316,1.0,4,734429,0,0,0,0,0,0,182,0.2300572,2.59,2.81,2.63,1,836,Normal
3773,2,316,1.0,5,735200,0,0,0,0,0,0,182,0.22990917,2.5,2.78,2.63,1,836,Normal
3773,2,316,1.0,8,736301,5,1163,0,0,0,0,180,0.22840917,2.27,2.72,2.61,1,836,Normal
3773,2,316,1.0,8,737212,2,104,0,0,0,0,181,0.2290506,2.23,2.7,2.6,1,836,Normal
3773,2,316,1.0,177,759197,164,175639,0,0,0,0,164,0.20814933,2.2,2.68,2.59,1,837,Normal
3793,2,313,1.0,6,759968,4,1176,0,0,0,0,169,0.21405064,2.01,2.62,2.58,1,837,Normal
3793,2,313,1.0,5,760650,1,81,0,0,0,0,170,0.21522498,1.86,2.57,2.56,1,837,Normal
3793,2,313,1.0,6,761421,0,0,0,0,0,0,170,0.21498813,1.72,2.52,2.54,1,837,Normal
3793,2,313,1.0,3,761934,0,0,0,0,0,0,169,0.21395195,1.61,2.47,2.53,1,837,Normal
3793,2,313,1.0,5,762619,0,0,0,0,0,0,170,0.2153434,1.6,2.43,2.52,1,837,Normal
3793,2,313,1.0,4,763218,0,0,0,0,0,0,173,0.21881214,1.51,2.39,2.5,5,843,Normal
3792,2,312,1.0,3,763731,0,0,0,0,0,0,174,0.22094372,1.51,2.36,2.49,1,903,Normal
3792,2,312,1.0,33,774854,13,6036,0,0,0,0,175,0.2216049,1.43,2.31,2.47,1,903,Normal
3792,2,312,1.0,4,776213,0,0,0,0,0,0,178,0.22581871,1.36,2.27,2.46,1,901,Normal
3792,2,312,1.0,6,776984,0,0,0,0,0,0,178,0.22532529,1.38,2.24,2.45,2,902,Normal
3792,2,312,1.0,5,778389,1,42,0,0,0,0,179,0.2265243,1.32,2.2,2.43,1,901,Normal
3792,2,312,1.0,25,788384,11,5419,0,0,0,0,179,0.22705719,1.27,2.16,2.42,1,901,Normal
3890,2,318,1.0,8,792505,2,120,0,0,0,0,179,0.22675127,1.23,2.13,2.4,1,902,Normal
3890,2,318,1.0,7,793322,1,28,0,0,0,0,179,0.22658351,1.2,2.09,2.39,1,902,Normal
3890,2,318,1.0,4,795131,0,0,0,0,0,0,180,0.22758515,1.17,2.05,2.37,1,902,Normal
3890,2,318,1.0,6,795862,1,42,0,0,0,0,179,0.22730884,1.22,2.03,2.36,1,902,Normal
3890,2,318,1.0,4,796461,0,0,0,0,0,0,179,0.22715095,1.19,2.0,2.35,1,903,Normal
3890,2,318,1.0,5,797114,2,141,0,0,0,0,179,0.22701278,1.16,1.97,2.33,1,903,Normal
3900,2,316,1.0,8,799227,1,42,0,0,0,0,179,0.22681049,1.13,1.94,2.32,1,902,Normal
3900,2,316,1.0,3,799740,67,21256,0,0,0,0,179,0.22657365,1.19,1.92,2.31,1,902,Normal
3900,2,316,1.0,6,800511,0,0,0,0,0,0,179,0.2263664,1.16,1.89,2.3,1,902,Normal
3900,2,316,1.0,3,801024,0,0,0,0,0,0,179,0.2261493,1.13,1.86,2.28,1,902,Normal
3900,2,316,1.0,6,801795,0,0,0,0,0,0,179,0.22620851,1.11,1.83,2.27,1,902,Normal
3900,2,316,1.0,5,802424,2,94,0,0,0,0,178,0.22584338,1.1,1.81,2.26,1,902,Normal
3906,2,314,1.0,6,803195,0,0,0,0,0,0,178,0.22550786,1.08,1.78,2.24,1,902,Normal
3906,2,314,1.0,5,803877,1,81,0,0,0,0,178,0.22535983,1.07,1.75,2.23,1,902,Normal
3906,2,314,1.0,5,804562,0,0,0,0,0,0,178,0.2250539,1.06,1.73,2.21,1,902,Normal
3906,2,314,1.0,4,805161,0,0,0,0,0,0,177,0.22475292,1.05,1.7,2.2,1,902,Normal
