%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
4196,2,342,1.0,3,248670,0,0,0,0,0,0,138,0.17535168,1.06,1.88,3.68,1,899,Infected
4196,2,342,1.0,3,249183,0,0,0,0,0,0,138,0.17505564,1.05,1.85,3.66,1,899,Infected
4196,2,342,1.0,3,249696,0,0,0,0,0,0,138,0.17472011,1.04,1.82,3.63,1,899,Infected
4196,2,342,1.0,3,250209,0,0,0,0,0,0,138,0.17466089,1.03,1.8,3.6,1,899,Infected
4196,2,342,1.0,3,250722,0,0,0,0,0,0,137,0.17373326,1.03,1.77,3.57,1,899,Infected
4196,2,342,1.0,208,268549,205,19336,0,0,0,0,156,0.19724968,1.1,1.76,3.55,2,915,Infected
4151,2,341,1.0,3,269062,0,0,0,0,0,0,159,0.20096019,1.32,1.79,3.54,1,914,Infected
4151,2,341,1.0,27,271711,24,2376,0,0,0,0,159,0.20143388,1.5,1.81,3.53,3,914,Infected
4151,2,341,1.0,3,272224,0,0,0,0,0,0,166,0.2100194,1.89,1.88,3.53,1,912,Infected
4151,2,341,1.0,15,273697,12,1080,0,0,0,0,165,0.2091411,2.12,1.93,3.53,4,912,Infected
4151,2,341,1.0,3,274210,0,0,0,0,0,0,165,0.20859835,2.41,2.0,3.54,2,912,Infected
4151,2,341,1.0,52,278897,49,4636,0,0,0,0,163,0.20693058,2.34,2.0,3.52,1,912,Infected
4120,2,345,1.0,3,279410,0,0,0,0,0,0,163,0.20708354,2.36,2.02,3.51,1,912,Infected
4145,2,345,1.0,27,282239,24,2472,0,0,0,0,130,0.16529578,2.33,2.02,3.5,1,914,Infected
4145,2,345,1.0,0,282239,0,0,0,0,0,0,132,0.16697834,2.87,2.13,3.53,1,914,Infected
4145,2,345,1.0,1,282239,0,0,0,0,0,0,131,0.16607045,2.87,2.13,3.53,156,922,Infected
4145,2,345,1.0,0,282410,0,0,0,0,0,0,131,0.16647506,2.87,2.13,3.53,1,922,Infected
4145,2,345,1.0,20,284471,14,1256,0,0,0,0,132,0.16738789,2.65,2.11,3.51,1,922,Infected
4145,2,345,1.0,11,285623,10,1000,0,0,0,0,132,0.16712637,2.52,2.09,3.49,1,922,Infected
4145,2,345,1.0,1,285794,0,0,0,0,0,0,132,0.16789117,2.52,2.09,3.49,1,923,Infected
4145,2,345,1.0,1,285965,0,0,0,0,0,0,132,0.167679,2.52,2.09,3.49,3,926,Infected
4145,2,345,1.0,3,286478,0,0,0,0,0,0,132,0.1667563,2.48,2.09,3.49,1,927,Infected
4145,2,345,1.0,3,286991,0,0,0,0,0,0,132,0.16718557,2.48,2.09,3.49,1,927,Infected
4145,2,345,1.0,2,287333,0,0,0,0,0,0,132,0.16742243,2.48,2.09,3.49,1,926,Infected
4145,2,345,1.0,0,287333,0,0,0,0,0,0,132,0.16680564,2.48,2.09,3.49,1,931,Infected
4145,2,345,1.0,0,287333,0,0,0,0,0,0,133,0.16847341,2.44,2.09,3.48,4,931,Infected
4145,2,345,1.0,0,287333,0,0,0,0,0,0,132,0.167679,2.44,2.09,3.48,1,931,Infected
4145,2,345,1.0,0,287333,0,0,0,0,0,0,133,0.16830565,2.44,2.09,3.48,1,928,Infected
4145,2,345,1.0,0,287333,0,0,0,0,0,0,132,0.16734841,2.44,2.09,3.48,1,935,Infected
4145,2,345,1.0,0,287333,0,0,0,0,0,0,132,0.16797999,2.32,2.07,3.47,1,934,Infected
4145,2,345,1.0,3,287846,0,0,0,0,0,0,132,0.16787143,2.32,2.07,3.47,1,935,Infected
4145,2,345,1.0,1,288017,0,0,0,0,0,0,132,0.16737801,2.32,2.07,3.47,4,941,Infected
4145,2,345,1.0,3,288530,0,0,0,0,0,0,131,0.16661815,2.3,2.07,3.46,1,942,Infected
4145,2,345,1.0,3,289043,0,0,0,0,0,0,131,0.16600631,2.3,2.07,3.46,3,943,Infected
4145,2,345,1.0,16,290682,13,1228,0,0,0,0,132,0.16689447,2.19,2.05,3.44,1,938,Infected
4145,2,345,1.0,2,291024,0,0,0,0,0,0,131,0.1666971,2.1,2.04,3.43,1,940,Infected
4145,2,345,1.0,0,291024,0,0,0,0,0,0,131,0.165804,2.1,2.04,3.43,1,946,Infected
4145,2,345,1.0,0,291024,0,0,0,0,0,0,131,0.16558197,2.1,2.04,3.43,1,948,Infected
4145,2,345,1.0,0,291024,0,0,0,0,0,0,131,0.16572505,2.1,2.04,3.43,1,953,Infected
4145,2,345,1.0,15,292497,12,1080,0,0,0,0,131,0.16548821,16.65,5.06,4.39,1,953,Infected
4204,2,313,1.0,0,292497,0,0,0,0,0,0,131,0.16556223,16.65,5.06,4.39,1,950,Infected
4204,2,313,1.0,0,292497,0,0,0,0,0,0,130,0.16522177,15.39,4.99,4.37,1,951,Infected
4204,2,313,1.0,3,293010,0,0,0,0,0,0,130,0.16514775,15.39,4.99,4.37,1,953,Infected
4204,2,313,1.0,12,294090,12,1200,0,0,0,0,132,0.1674323,14.32,4.94,4.36,1,954,Infected
4204,2,313,1.0,0,294090,0,0,0,0,0,0,131,0.16637143,15.26,5.29,4.48,1,962,Infected
4204,2,313,1.0,1,294261,0,0,0,0,0,0,131,0.16667736,15.26,5.29,4.48,1,962,Infected
4204,2,313,1.0,0,294261,0,0,0,0,0,0,131,0.1661198,15.26,5.29,4.48,2,965,Infected
4204,2,313,1.0,5,295116,60,23892,0,0,0,0,131,0.16663788,14.11,5.22,4.46,1,959,Infected
4204,2,313,1.0,0,295116,0,0,0,0,0,0,131,0.16662802,13.06,5.15,4.44,1,959,Infected
4204,2,313,1.0,0,295116,0,0,0,0,0,0,131,0.16596189,13.06,5.15,4.44,1,964,Infected
4204,2,313,1.0,1,295287,0,0,0,0,0,0,131,0.16588789,13.06,5.15,4.44,1,965,Infected
4204,2,313,1.0,3,295800,0,0,0,0,0,0,131,0.16589282,13.06,5.15,4.44,2,966,Infected
4204,2,313,1.0,2,296142,0,0,0,0,0,0,131,0.16591749,12.26,5.11,4.43,1,961,Infected
4204,2,313,1.0,1,296313,0,0,0,0,0,0,130,0.16512802,12.26,5.11,4.43,2,966,Infected
4204,2,313,1.0,0,296313,0,0,0,0,0,0,130,0.16494545,12.26,5.11,4.43,1,967,Infected
4204,2,313,1.0,4,296997,0,0,0,0,0,0,131,0.16547835,12.26,5.11,4.43,1,962,Infected
4204,2,313,1.0,9,298131,4,400,0,0,0,0,131,0.16644052,11.36,5.04,4.41,1,963,Infected
4204,2,313,1.0,10,299274,8,800,0,0,0,0,131,0.16623329,10.61,4.99,4.4,1,962,Infected
4204,2,313,1.0,1,299320,1,28,0,0,0,0,131,0.16608526,10.61,4.99,4.4,1,962,Infected
4204,2,313,1.0,0,299320,0,0,0,0,0,0,131,0.16593723,9.84,4.93,4.38,1,962,Infected
4204,2,313,1.0,0,299320,0,0,0,0,0,0,130,0.16487637,9.84,4.93,4.38,4,967,Infected
4204,2,313,1.0,0,299320,0,0,0,0,0,0,130,0.1651675,9.84,4.93,4.38,1,967,Infected
4204,2,313,1.0,1,299491,0,0,0,0,0,0,130,0.16454579,9.84,4.93,4.38,2,967,Infected
4204,2,313,1.0,3,300004,0,0,0,0,0,0,130,0.16504908,9.84,4.93,4.38,1,968,Infected
4204,2,313,1.0,1,300175,0,0,0,0,0,0,130,0.16449644,9.53,4.94,4.39,1,972,Infected
4204,2,313,1.0,3,300688,0,0,0,0,0,0,130,0.16475302,9.53,4.94,4.39,1,968,Infected
4204,2,313,1.0,4,301372,0,0,0,0,0,0,130,0.16472341,12.77,5.69,4.64,1,968,Infected
4204,2,313,1.0,1,301543,0,0,0,0,0,0,129,0.16403262,12.77,5.69,4.64,1,974,Infected
4204,2,313,1.0,3,302056,0,0,0,0,0,0,129,0.1633073,12.77,5.69,4.64,1,974,Infected
4204,2,313,1.0,14,303358,12,1080,0,0,0,0,130,0.16518722,11.83,5.61,4.62,1,971,Infected
4197,2,291,1.0,1,303529,0,0,0,0,0,0,130,0.16436815,11.83,5.61,4.62,4,977,Infected
4197,2,291,1.0,0,303529,0,0,0,0,0,0,129,0.16418065,11.83,5.61,4.62,225,977,Infected
4197,2,291,1.0,5,304384,0,0,0,0,0,0,130,0.16465926,10.96,5.54,4.6,1,972,Infected
